"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2016"
"SEXE - Ensemble tous sexes confondus"
"AGE - Ensemble tous âges confondus"

SPECIALITE,"Ensemble des spécialités d'exercice","Spécialistes","Anatomie et cytologie pathologiques","Anesthésie-réanimation","Biologie médicale","Cardiologie et maladies vasculaires","Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","Chirurgie orthopédique et traumatologie","Chirurgie infantile","Chirurgie plastique reconstructrice et esthétique","Chirurgie thoracique et cardio-vasculaire","Chirurgie urologique","Chirurgie vasculaire","Chirurgie viscérale et digestive","Dermatologie et vénéréologie","Endocrinologie et métabolisme","Génétique médicale","Gériatrie","Gynécologie médicale","Gynécologie-obstétrique","Hématologie","Gastro-entérologie et hépatologie","Médecine du travail","Médecine interne","Médecine nucléaire","Médecine physique et réadaptation","Néphrologie","Neuro-chirurgie","Neurologie","O.R.L et chirurgie cervico faciale","Oncologie option médicale","Ophtalmologie","Pédiatrie","Pneumologie","Psychiatrie","Radio-diagnostic et imagerie médicale","Radio-thérapie","Réanimation médicale","Recherche médicale","Rhumatologie","Santé publique et médecine sociale","Généralistes","Médecine générale"
"Corse",1203,646,4,46,13,54,14,9,20,2,6,0,10,3,7,15,7,0,3,14,16,0,29,22,8,6,11,7,5,11,19,4,35,34,14,66,115,4,0,0,11,2,557,557
"Guadeloupe",1259,679,8,42,19,48,18,2,21,3,8,1,15,7,8,13,11,2,6,17,45,1,21,15,11,4,8,18,8,18,24,2,47,48,10,60,62,7,1,0,11,9,580,580
"Guyane",632,248,3,26,8,8,12,0,6,0,4,0,3,0,2,11,0,0,1,5,35,0,6,6,8,0,2,4,1,1,4,2,10,29,2,13,20,0,2,0,0,14,384,384
"Ile-de-France",66254,43156,484,2630,823,2673,1109,504,1164,97,608,143,370,147,273,1632,695,76,576,1430,1571,189,1345,1395,842,257,436,492,162,811,1362,369,2491,3050,867,5698,4386,287,129,7,1024,552,23098,23098
"La Réunion",3065,1602,14,173,32,91,30,20,28,8,15,13,29,11,12,32,24,3,8,22,108,5,42,38,27,6,26,39,7,24,43,2,72,154,35,143,200,9,3,0,14,40,1463,1463
"Languedoc-Roussillon-Midi-Pyrénées",27789,16045,177,1312,282,1007,395,177,539,32,136,76,249,74,152,490,305,16,166,341,515,67,552,484,229,107,308,247,78,279,460,94,795,843,395,1639,2278,168,35,0,375,171,11744,11744
"Martinique",1194,624,6,64,12,27,22,4,23,4,11,2,7,3,3,24,11,1,5,15,25,1,12,16,13,4,15,18,2,9,18,3,42,46,12,71,46,5,1,0,12,9,570,570
"Mayotte",194,74,0,11,1,2,6,0,2,0,1,0,0,0,0,0,0,0,0,2,7,0,1,1,5,0,0,1,0,0,1,0,1,14,4,7,7,0,0,0,0,0,120,120
"Nord-Pas-de-Calais-Picardie",24074,13907,180,1037,209,1099,460,151,419,32,109,55,232,69,110,332,189,15,179,318,556,58,517,466,163,123,238,183,54,288,322,79,643,781,419,1181,2076,212,31,0,222,100,10167,10167
"Normandie",13229,7599,78,611,126,431,260,116,230,24,37,26,109,63,74,185,84,8,93,161,305,23,256,257,95,36,86,111,39,154,271,53,364,418,201,664,1259,63,9,0,153,66,5630,5630
"Pays de la Loire",14056,7822,109,659,140,444,179,103,231,17,67,29,105,63,86,201,81,13,86,130,299,33,263,339,111,63,113,104,29,125,210,58,608,359,172,783,1124,54,24,0,147,61,6234,6234
"Provence-Alpes-Côte d’Azur",28420,17688,336,1409,309,1324,445,222,591,58,267,53,283,134,149,588,236,26,108,358,751,47,577,483,204,95,275,254,53,257,550,121,962,944,415,1802,2377,122,27,2,329,145,10732,10732
